Date,Open,High,Low,Close,Volume
2023-06-01,62.41,63.61,61.83,63.05,16686196
2023-06-02,63.74,64.395,63.562,63.96,16438701
2023-06-05,64.07,64.98,63.505,64.51,13498337
2023-06-06,64.43,65.175,64.23,65.02,13039248
2023-06-07,65.25,65.32,63.55,64.04,15511864
2023-06-08,64.2,64.695,63.985,64.24,13568477
2023-06-09,64.0,64.06,62.43,63.49,17151726
2023-06-12,63.6,64.26,63.12,63.73,15969490
2023-06-13,63.55,64.24,63.13,63.56,19963415
2023-06-14,64.14,65.1,63.025,63.6,24028135
2023-06-15,63.12,66.21,62.63,65.85,21527728
2023-06-16,65.95,67.15,65.2202,66.43,29703731
2023-06-20,67.13,69.2,66.78,68.89,31379158
2023-06-21,68.945,69.02,67.22,68.19,23910590
2023-06-22,67.52,68.645,67.06,68.57,16872538
2023-06-23,67.415,68.16,65.85,66.94,27683805
2023-06-26,67.42,67.58,66.41,66.44,12224355
2023-06-27,66.87,67.1,65.78,66.23,16371203
2023-06-28,66.05,66.48,65.62,66.03,15390593
2023-06-29,66.3,67.34,65.62,65.86,14894152
2023-06-30,66.09,66.975,65.75,66.73,16907133
2023-07-03,67.12,68.63,66.84,68.1,8617899
2023-07-05,68.04,68.9,67.0,68.85,13980553
2023-07-06,67.71,67.85,65.63,66.14,17458844
2023-07-07,66.19,67.66,65.98,66.79,12341805
2023-07-10,66.8,69.36,66.69,69.28,14871988
2023-07-11,69.64,70.73,69.41,70.62,14798991
2023-07-12,71.72,71.87,70.2801,70.59,14458457
2023-07-13,71.37,72.735,71.0,72.39,14536257
2023-07-14,72.66,72.98,71.92,72.1,12202244
2023-07-17,72.52,73.78,71.96,73.49,13168841
2023-07-18,73.48,74.41,73.26,74.37,11915019
2023-07-19,74.47,75.04,73.9,74.22,12167232
2023-07-20,72.82,74.68,72.8,73.02,14221125
2023-07-21,72.73,73.62,71.83,72.99,25514976
2023-07-24,73.04,73.97,73.015,73.69,8854191
2023-07-25,73.68,74.3,72.94,72.96,8535991
2023-07-26,72.89,73.76,72.41,73.43,11332514
2023-07-27,74.33,75.055,71.81,72.03,11836586
2023-07-28,73.04,74.19,72.96,73.98,10191925
2023-07-31,74.9,76.54,74.74,75.82,15661095
2023-08-01,76.19,76.28,74.56,75.53,14658692
2023-08-02,74.38,74.99,72.5,73.2,24567820
2023-08-03,66.7,66.93,64.1,64.18,51387329
2023-08-04,64.8,64.97,62.6585,62.75,25279502
2023-08-07,63.02,64.75,62.2,64.42,23738026
2023-08-08,63.77,63.99,62.49,63.19,17683725
2023-08-09,63.1,63.39,61.93,62.02,13788674
2023-08-10,62.6,63.05,62.075,62.79,13119082
2023-08-11,62.27,62.5,61.47,61.54,12419259
2023-08-14,62.15,63.44,61.68,63.27,22668025
2023-08-15,62.76,62.77,59.4,59.47,32003469
2023-08-16,59.44,60.185,59.26,59.68,16592736
2023-08-17,59.01,59.195,58.15,58.6,20616663
2023-08-18,57.39,59.8,57.29,59.42,19035887
2023-08-21,59.46,59.7689,58.75,59.51,14133676
2023-08-22,59.92,61.315,59.61,60.98,17364192
2023-08-23,61.28,62.37,60.93,61.76,13105368
2023-08-24,61.69,61.92,60.621,60.71,12846929
2023-08-25,60.99,61.6,60.08,61.19,11150109
2023-08-28,61.59,61.96,61.03,61.67,10459264
2023-08-29,61.63,62.74,61.53,62.5,11627635
2023-08-30,62.38,63.47,62.1204,63.42,12040994
