Date,Open,High,Low,Close,Volume
2023-09-20,177.956,178.388,174.124,174.213,58864473
2023-09-21,173.279,175.018,172.595,172.665,63611951
2023-09-22,173.399,175.791,172.784,173.519,57141138
2023-09-25,172.933,175.683,172.883,174.798,46511151
2023-09-26,173.548,173.924,170.411,170.709,65062332
2023-09-27,171.364,171.781,167.82,169.191,67412293
2023-09-28,168.107,170.779,166.401,169.447,56707014
2023-09-29,170.769,171.811,169.102,169.965,52241185
2023-10-02,169.975,173.032,169.685,172.485,52546861
2023-10-03,171.002,172.366,169.577,171.145,49958103
2023-10-04,169.845,172.943,169.725,172.396,53408884
2023-10-05,172.525,174.173,171.424,173.638,48883590
2023-10-06,172.535,176.695,171.921,176.198,57686396
2023-10-09,175.523,177.747,174.521,177.687,42701464
2023-10-10,176.804,178.412,176.656,177.092,44018292
2023-10-11,176.903,178.541,176.307,178.491,47899611
2023-10-12,178.76,181.014,177.737,179.395,57159002
2023-10-13,180.1,180.605,176.844,177.548,51833215
2023-10-16,175.463,177.772,175.226,177.421,52901893
2023-10-17,175.36,177.122,173.529,175.862,57971142
2023-10-18,174.303,176.283,173.836,174.561,55165756
2023-10-19,174.759,176.547,173.914,174.183,59737507
2023-10-20,174.034,174.144,171.384,171.622,64714887
2023-10-23,169.665,172.745,168.693,171.741,56390400
2023-10-24,171.791,172.405,170.203,172.178,44137786
2023-10-25,170.629,171.801,169.407,169.855,57575879
2023-10-26,169.131,170.131,164.464,165.677,71142887
2023-10-27,165.696,167.731,165.617,166.996,58927883
2023-10-30,167.791,169.925,167.642,169.051,51505706
2023-10-31,168.117,169.655,166.678,169.527,45174704
2023-11-01,169.755,172.962,168.881,172.705,57352195
2023-11-02,174.243,176.487,174.183,176.278,77901556
2023-11-03,172.972,175.533,172.088,175.365,80414333
2023-11-06,175.097,178.125,174.928,177.926,64309218
2023-11-07,177.876,181.114,177.668,180.498,71046897
2023-11-08,181.024,182.116,180.269,181.558,49701908
2023-11-09,181.628,182.781,180.488,181.084,54157585
